month,pm2_5_caught,pm2_5_escaped,pm10_caught,pm10_escaped,pm2_5_percent_caught,pm10_percent_caught
January,6,7060,1,2933,0.08491367110104726,0.034083162917518735
February,3,6904,3,3090,0.04343419719125524,0.0969932104752667
March,6,6961,2,3031,0.08612028132625232,0.0659413122321134
April,2,7044,2,2952,0.028384899233607715,0.06770480704129991
May,4,7040,1,2955,0.056785917092561033,0.033829499323410006
June,8,6975,3,3014,0.11456394099957037,0.09943652635067945
July,5,6965,2,3028,0.07173601147776183,0.06600660066006599
August,9,7044,1,2946,0.12760527435133984,0.033932813030200196
September,7,6957,3,3033,0.10051694428489372,0.09881422924901183
October,6,6995,1,2998,0.0857020425653478,0.03334444814938312
November,11,6925,1,3063,0.15859284890426756,0.032637075718015655
December,7,7005,4,2984,0.09982886480319451,0.1338688085676037
